analysis_time,intensity,tc_name,tc_id,lat,lng,speed_of_movement,movement_direction,pressure,max_wind_speed,gust,wind_radii,center_id
2025-11-18 00:00:00,low,,02U,-10.200000000,130.300000000,5,ENE,999,30,45,,8
2025-11-18 06:00:00,low,,02U,-10.000000000,130.600000000,5,ENE,998,30,45,,8
2025-11-18 12:00:00,low,,02U,-9.900000000,131.150000000,4,ENE,996,35,50,34.0 kt;;50nm|NEQ;;40nm|NWQ,8
2025-11-18 18:00:00,tropical cyclone,Fina,02U,-9.700000000,131.600000000,5,ENE,993,40,55,34.0 kt;;50nm|NEQ;;50nm|SEQ;;50nm|SWQ;;50nm|NWQ,8
2025-11-19 00:00:00,tropical cyclone,Fina,02U,-9.300000000,132.100000000,6,NE,993,40,55,34.0 kt;;50nm|NEQ;;50nm|SEQ;;50nm|SWQ;;50nm|NWQ,8
2025-11-19 06:00:00,tropical cyclone,Fina,02U,-9.500000000,132.600000000,5,E,985,50,70,34.0 kt;;50nm|NEQ;;50nm|SEQ;;50nm|SWQ;;50nm|NWQ##48.0 kt;;25nm|NEQ;;25nm|NWQ,8
2025-11-19 12:00:00,tropical cyclone,Fina,02U,-9.600000000,132.700000000,1,E,985,50,70,34.0 kt;;60nm|NEQ;;60nm|SEQ;;60nm|SWQ;;60nm|NWQ##48.0 kt;;25nm|NEQ;;25nm|SEQ,8
2025-11-19 18:00:00,tropical cyclone,Fina,02U,-9.470000000,132.910000000,2,ENE,986,50,70,34.0 kt;;60nm|NEQ;;60nm|SEQ;;60nm|SWQ;;60nm|NWQ##48.0 kt;;30nm|NEQ;;30nm|SEQ;;30nm|SWQ;;30nm|NWQ,8
2025-11-20 00:00:00,tropical cyclone,Fina,02U,-9.600000000,133.240000000,3,ESE,988,50,70,34.0 kt;;60nm|NEQ;;60nm|SEQ;;60nm|SWQ;;60nm|NWQ##48.0 kt;;30nm|NEQ;;30nm|SEQ;;30nm|SWQ;;30nm|NWQ,8
2025-11-20 06:00:00,tropical cyclone,Fina,02U,-9.850000000,133.200000000,3,S,988,50,70,34.0 kt;;70nm|NEQ;;60nm|SEQ;;60nm|SWQ;;70nm|NWQ##48.0 kt;;30nm|NEQ;;30nm|SEQ;;30nm|SWQ;;30nm|NWQ,8
2025-11-20 12:00:00,tropical cyclone,Fina,02U,-10.100000000,133.200000000,3,S,994,40,55,34.0 kt;;60nm|NEQ;;60nm|SEQ;;60nm|SWQ;;60nm|NWQ,8
2025-11-20 18:00:00,tropical cyclone,Fina,02U,-10.300000000,133.100000000,2,SSW,992,40,55,34.0 kt;;50nm|NEQ;;50nm|SEQ;;50nm|SWQ;;60nm|NWQ,8
2025-11-21 00:00:00,tropical cyclone,Fina,02U,-10.200000000,132.800000000,2,WSW,990,45,65,34.0 kt;;50nm|NEQ;;50nm|SEQ;;50nm|SWQ;;60nm|NWQ,8
2025-11-21 06:00:00,tropical cyclone,Fina,02U,-10.600000000,132.500000000,3,SW,990,50,70,34.0 kt;;50nm|NEQ;;45nm|SEQ;;40nm|SWQ;;50nm|NWQ##48.0 kt;;25nm|NEQ;;20nm|SEQ;;20nm|SWQ;;25nm|NWQ,8
2025-11-21 12:00:00,tropical cyclone,Fina,02U,-11.100000000,132.200000000,5,SSW,987,50,70,34.0 kt;;50nm|NEQ;;40nm|SEQ;;40nm|SWQ;;50nm|NWQ##48.0 kt;;20nm|NEQ;;20nm|SEQ;;20nm|SWQ;;20nm|NWQ,8
2025-11-21 18:00:00,tropical cyclone,Fina,02U,-11.600000000,131.900000000,6,SSW,984,55,75,34.0 kt;;50nm|NEQ;;45nm|SEQ;;45nm|SWQ;;45nm|NWQ##48.0 kt;;20nm|NEQ;;20nm|SEQ;;20nm|SWQ;;20nm|NWQ,8
2025-11-22 00:00:00,severe tropical cyclone,Fina,02U,-11.790000000,131.420000000,5,WSW,976,65,90,34.0 kt;;50nm|NEQ;;35nm|SEQ;;35nm|SWQ;;45nm|NWQ##48.0 kt;;20nm|NEQ;;20nm|SEQ;;20nm|SWQ;;20nm|NWQ##64.0 kt;;15nm|NEQ;;15nm|SEQ;;15nm|SWQ;;12nm|NWQ,8
2025-11-22 06:00:00,severe tropical cyclone,Fina,02U,-11.900000000,130.970000000,5,WSW,961,80,110,34.0 kt;;45nm|NEQ;;50nm|SEQ;;30nm|SWQ;;40nm|NWQ##48.0 kt;;20nm|NEQ;;20nm|SEQ;;20nm|SWQ;;15nm|NWQ##64.0 kt;;15nm|NEQ;;15nm|SEQ;;15nm|SWQ;;10nm|NWQ,8
2025-11-22 12:00:00,severe tropical cyclone,Fina,02U,-12.110000000,130.560000000,4,WSW,972,70,100,34.0 kt;;45nm|NEQ;;40nm|SEQ;;35nm|SWQ;;40nm|NWQ##48.0 kt;;20nm|NEQ;;20nm|SEQ;;20nm|SWQ;;20nm|NWQ##64.0 kt;;15nm|NEQ;;15nm|SEQ;;15nm|SWQ;;15nm|NWQ,8
2025-11-22 18:00:00,severe tropical cyclone,Fina,02U,-12.350000000,130.140000000,5,WSW,967,75,105,34.0 kt;;50nm|NEQ;;35nm|SEQ;;45nm|SWQ;;45nm|NWQ##48.0 kt;;20nm|NEQ;;20nm|SEQ;;20nm|SWQ;;20nm|NWQ##64.0 kt;;15nm|NEQ;;15nm|SEQ;;15nm|SWQ;;15nm|NWQ,8
2025-11-23 00:00:00,severe tropical cyclone,Fina,02U,-12.600000000,129.720000000,4,WSW,962,80,110,34.0 kt;;45nm|NEQ;;35nm|SEQ;;45nm|SWQ;;45nm|NWQ##48.0 kt;;20nm|NEQ;;20nm|SEQ;;20nm|SWQ;;20nm|NWQ##64.0 kt;;15nm|NEQ;;15nm|SEQ;;15nm|SWQ;;15nm|NWQ,8
